"Year","Type","China","United States","EU","India","Russian Federation","Japan","Brazil","Indonesia","Canada","Mexico","Rest of World"
2000,"GHG",14.3714179696998,20.752415921193,14.920397963927,5.40201601566546,6.2968274938356,4.01460149554213,2.24201383258024,1.70027199182225,2.11636071847731,1.75384056150875,26.4298360357484
2001,"GHG",14.7171910719907,20.4267220134079,14.9133988053541,5.43882739791022,6.25818690944123,3.91126125956606,2.27947798487143,1.7385503753449,2.06813965652294,1.75897733392887,26.4892671916616
2002,"GHG",15.4625217377603,19.8580811090355,14.5510520906223,5.44468030165984,6.16866284292167,3.94532942144583,2.30706401050215,1.73760522951811,2.06197602216487,1.76998533336309,26.6930419010062
2003,"GHG",16.8504683990176,19.3437120144382,14.3033856298515,5.39433565086842,6.07268767847316,3.811791063852,2.25718581919913,1.75679809925295,2.05323195334668,1.75404391866779,26.4023597730325
2004,"GHG",18.3443096414611,18.842375982133,13.7454864294174,5.47863785935129,5.86740467840925,3.66569005167719,2.27646625929241,1.71107625810064,1.96735654884668,1.72553744672153,26.3756588445895
2005,"GHG",19.630438836101,18.2846771448892,13.2383737183316,5.56419295635263,5.72300381317525,3.57286865597175,2.24551240119776,1.67472488431482,1.93116196470544,1.75572443665363,26.3793211883069
2006,"GHG",20.7523612853257,17.5968905812047,12.8977525226623,5.7203327189981,5.72098053590643,3.43471157646477,2.18480401725583,1.67883498126675,1.85029315592957,1.74170685863606,26.4213317663497
2007,"GHG",21.3690723774675,17.305167526628,12.3776136914515,5.91967655426651,5.57195729274821,3.41815867126482,2.18949948474411,1.67703932048251,1.87822077305402,1.74518824460652,26.5484060632863
2008,"GHG",21.8288701690448,16.7188441280685,11.9822716941112,6.12730362944566,5.5904231571559,3.16243559189033,2.20579366919637,1.66074201791972,1.81833716766261,1.74932901514561,27.1556497603593
2009,"GHG",23.1741101528746,15.8010703084085,11.2187002896534,6.69321794406843,5.3420842257032,3.02384344100081,2.18603460869791,1.72710794280696,1.73626641579332,1.72480182127444,27.3727628497185
2010,"GHG",23.5424038552469,15.8110027216957,11.0239464747135,6.68437323890804,5.37655464548423,3.01689055390484,2.29117887998663,1.7100625841618,1.69942060739592,1.69796287003855,27.1462035684639
2011,"GHG",24.8238741727146,15.0782600396165,10.3986758643364,6.75466506852317,5.4120031217687,3.05021901424166,2.2813674862274,1.69324234612251,1.67245613969159,1.69140122046977,27.1438355262877
2012,"GHG",25.3557114389067,14.4043864267594,10.1629562551621,6.96244269823605,5.36480931267775,3.10625355274814,2.33921321519315,1.75762592401727,1.64976403427415,1.67225183342515,27.2245853086001
2000,"Population",20.8789428624058,4.66580302237577,8.06910619494072,17.2347126016835,2.42410786288904,2.09746029129022,2.88559159110593,3.45498468475895,0.508803985438003,1.71764122573249,36.0628456773796
2001,"Population",20.7660837991945,4.65282006502251,7.98676661214871,17.2989615328293,2.38342545978602,2.07602059125194,2.88944181689903,3.46093838670625,0.50748857179556,1.71993294270459,36.2581202216616
2002,"Population",20.6469638363692,4.63807166377673,7.90957597234746,17.3623118753458,2.3447628857143,2.05510176985792,2.89279650137927,3.4675786424788,0.505724835860834,1.72096186281781,36.4561501540518
2003,"Population",20.5225098121629,4.6210360925014,7.84233797128829,17.422578046848,2.30436163577365,2.03437900356242,2.89508438395457,3.47477147265045,0.504556830805707,1.72119429003892,36.6571904604137
2004,"Population",20.3957511051991,4.60774567852298,7.77905061878685,17.4774250484764,2.2632499227283,2.01051756800444,2.89568731197289,3.48240125358213,0.503490968200796,1.72128840483837,36.8633921196877
2005,"Population",20.2707511705154,4.59480827561592,7.7167197209276,17.5252710666093,2.2251909550216,1.98666484314904,2.8942152712966,3.49031731253958,0.502399680776313,1.72170196936674,37.0719597341819
2006,"Population",20.1428771602959,4.58439224002373,7.65415648664296,17.5658166433194,2.1892140280752,1.96438453757569,2.89054812030436,3.49859723924576,0.500422328617263,1.72259217621431,37.2869990396854
2007,"Population",20.0114617281852,4.57405370742936,7.59267254157909,17.6003143177867,2.15794772866317,1.94363477288947,2.88501440846123,3.50721307818473,0.499387664698598,1.72389671930882,37.5044033328136
2008,"Population",19.878171406854,4.56332552999688,7.53179309922291,17.6273363407281,2.13024057615263,1.92175190134483,2.87769178447108,3.51512826002356,0.498896070484283,1.72524497741063,37.7304200533111
2009,"Population",19.7449910658128,4.54997603725097,7.46612960219775,17.6518978557822,2.10477048430528,1.89916836005298,2.86981996469951,3.52235971957215,0.498772466648927,1.7267597599998,37.9653546836776
2010,"Population",19.6107088356455,4.53471274044276,7.39749949865961,17.6744154630547,2.08736682150706,1.87750175156789,2.86177407713623,3.52830891035139,0.498516135687873,1.72821058792878,38.2009851780182
2011,"Population",19.4775148843471,4.5150796634351,7.33258202850161,17.6955282446169,2.07155303241767,1.85217420580168,2.85374703617647,3.53288004318831,0.497654251166075,1.72963938932359,38.4416472210255
2012,"Population",19.3552827627416,4.49776887080998,7.24530391766822,17.7215591875226,2.05172202118451,1.82793946022703,2.84671478036534,3.53753158248194,0.497993450813833,1.73172854604401,38.6864554201409
2000,"GDP",7.53938546426875,21.4663312025865,24.3950377071182,4.39428563601095,3.19469086105557,6.75552090668343,3.17992240796691,1.91908495743304,1.89665517284963,2.52676039729207,22.732325286735
2001,"GDP",7.9672415028564,21.1505894906515,24.3413325349021,4.49459976531015,3.27597562612896,6.61518640244588,3.14363428597478,1.94078947421521,1.88192410810197,2.45057878330844,22.7381480261046
