assetNumber,remainingTermToMaturityNumber,reportingPeriodBeginningDate,originalLoanAmount,originalLoanTerm,originalInterestRatePercentage,reportingPeriodActualEndBalanceAmount
6346004,21,2019-02-01,25727.11,72,0.1941,19186.92
6346198,10,2019-02-01,21994.14,72,0.1377,4436.36
10389186,21,2019-02-01,16976.48,72,0.1411,8471.33
10395890,23,2019-02-01,14936,72,0.18,8133.31
10396495,19,2019-02-01,17695.16,72,0.2295,6431.14
10397477,6,2019-02-01,26914.78,60,0.1496,2958.63
10405254,24,2019-02-01,17599.98,72,0.1678,9311.69
10409516,26,2019-02-01,31150.31,72,0.1369,19616.53
10409384,24,2019-02-01,18036.72,72,0.1583,9507.13
10415703,23,2019-02-01,23407.3,72,0.18,12423.84
10419768,18,2019-02-01,22707.5,72,0.18,7654.85
10420916,26,2019-02-01,16374.5,72,0.2018,10411.84
10418875,19,2019-02-01,20371.94,72,0.135,6280.14
10630392,23,2019-02-01,25808.15,72,0.1476,14169.09
10631282,22,2019-02-01,23535.4,72,0.1678,11113.14
10627390,29,2019-02-01,19530.46,72,0.1614,15433.37
10632297,29,2019-02-01,24204.08,72,0.1445,17881.67
10640391,19,2019-02-01,21586.75,72,0.1306,7942.2
10634859,19,2019-02-01,13400.5,72,0.21,5371.08
10654954,25,2019-02-01,15086.75,72,0.1699,9263.01
10651025,21,2019-02-01,22142.87,72,0.1259,8738.25
10660982,27,2019-02-01,18321.2,72,0.1672,13307.89
10662447,23,2019-02-01,16514.89,72,0.18,7947.16
10666517,23,2019-02-01,14698.43,72,0.1859,9076.44
10666654,29,2019-02-01,32634.7,75,0.1275,20597.2
10682904,25,2019-02-01,11315.79,72,0.1239,6299.69
10680936,28,2019-02-01,21295,72,0.1234,13491.26
10695821,20,2019-02-01,40350.18,72,0.1439,14906.5
10642772,22,2019-02-01,34065.45,72,0.1085,15876.96
10714816,10,2019-02-01,11772.92,60,0.0887,2911.3
10700934,24,2019-02-01,12178,72,0.1258,5029.4
10720830,29,2019-02-01,27800.21,72,0.1406,20245.68
10715222,23,2019-02-01,19588.1,72,0.21,12708.12
10789869,26,2019-02-01,53510.99,72,0.18,34307.55
10799282,27,2019-02-01,17881.25,72,0.2599,14261.95
10932939,24,2019-02-01,17117.8,72,0.21,5681.07
10970201,30,2019-02-01,15894.01,72,0.25,14125.61
10995033,34,2019-02-01,25578.91,75,0.18,19619.77
12293396,31,2019-02-01,19758.86,72,0.18,16116.49
12302200,29,2019-02-01,27619.86,72,0.241,21107.71
12310801,32,2019-02-01,23116.27,72,0.1772,16000.1
12343899,31,2019-02-01,10600,72,0.2799,9792.74
12340044,31,2019-02-01,14177.56,72,0.2799,12329.01
10973120,34,2019-02-01,22033,75,0.18,16959.39
12423967,36,2019-02-01,21899.35,72,0.1482,18320.63
12427437,14,2019-02-01,13799.42,60,0.2315,4270.97
12442538,27,2019-02-01,13154.95,72,0.2644,7935.38
12449914,34,2019-02-01,25830.75,72,0.1573,21079.4
12466704,34,2019-02-01,19389.64,72,0.2,17142.23
12464965,22,2019-02-01,11023.94,60,0.2686,8876.32
12465852,34,2019-02-01,12159.1,72,0.2645,12159.1
12466965,31,2019-02-01,13255.22,72,0.2348,10246.13
12470693,32,2019-02-01,21200.6,72,0.2381,16896.31
12454284,33,2019-02-01,16999.1,72,0.2307,13302.86
12454705,34,2019-02-01,9580.41,72,0.257,8554.62
12480579,15,2019-02-01,8952.54,60,0.25,3137.93
12481238,37,2019-02-01,21899,75,0.18,18029.41
12486260,35,2019-02-01,20224.99,75,0.2074,17040.8
12486767,33,2019-02-01,14467.92,72,0.2613,13787.81
12476621,14,2019-02-01,13574.88,60,0.25,4856.41
12477068,34,2019-02-01,14355.41,72,0.2799,13094.21
12502987,21,2019-02-01,14032.16,60,0.2534,10532.61
12498741,27,2019-02-01,18397.68,72,0.18,10686.4
12510117,37,2019-02-01,21970,75,0.18,18662.7
12507297,34,2019-02-01,18194.12,72,0.2355,15551.76
12511926,36,2019-02-01,24221.99,75,0.18,19799.05
12512668,28,2019-02-01,13719.5,72,0.2793,9660.19
12515317,34,2019-02-01,21900,75,0.2781,18226.22
12517055,30,2019-02-01,11446.63,72,0.2225,7654.35
12516882,38,2019-02-01,26132.69,75,0.1521,21882.64
12524429,13,2019-02-01,10446.58,60,0.2259,3743.4
12523614,28,2019-02-01,9600,72,0.241,6346.3
12525746,37,2019-02-01,24790.55,75,0.18,20642.24
12522536,13,2019-02-01,8396.25,60,0.2711,3120.86
12531961,25,2019-02-01,23523.24,72,0.1942,10861.45
12530839,31,2019-02-01,23322.68,72,0.18,16801.94
12521138,33,2019-02-01,12505.81,72,0.2324,11335.71
12538000,27,2019-02-01,16128.49,72,0.2499,9109.97
12536757,35,2019-02-01,14000,72,0.2061,11352.91
12538784,34,2019-02-01,20978.36,72,0.22,17280.32
12543378,31,2019-02-01,14000,72,0.2216,10352.38
12542152,32,2019-02-01,14938.46,72,0.2783,13595.22
12543008,32,2019-02-01,16460,72,0.2453,12265.64
12547142,36,2019-02-01,15131.25,72,0.247,14945.02
12546800,31,2019-02-01,20756.16,75,0.2126,14752.41
12551712,30,2019-02-01,23954.39,72,0.18,14350.5
12556651,34,2019-02-01,13569.09,72,0.266,13010.49
12559739,26,2019-02-01,23895.77,72,0.1989,12261.76
12563956,34,2019-02-01,12048.4,72,0.2264,10130.51
12557196,30,2019-02-01,15570.7,72,0.2518,12229.29
12567511,22,2019-02-01,11377.98,60,0.19,8573.96
12569536,33,2019-02-01,12624.97,72,0.2799,11383.22
12570413,32,2019-02-01,9850,72,0.2378,8304.97
12575238,31,2019-02-01,11762.78,72,0.2381,9688.69
12582181,20,2019-02-01,10594.06,60,0.2366,6658.28
12589587,14,2019-02-01,12508.61,60,0.1727,1692.93
12589729,34,2019-02-01,21198,72,0.2763,20449.52
12592375,34,2019-02-01,21559.33,72,0.24,20825.94
12590277,32,2019-02-01,11876.77,72,0.2645,10095.42
12598330,20,2019-02-01,7892.39,66,0.24,3537.18
12598513,33,2019-02-01,7842.82,72,0.2627,6905.94
12607696,26,2019-02-01,18836.15,72,0.17,8858.15
12607740,28,2019-02-01,18690.15,72,0.2381,12446.18
12615296,34,2019-02-01,17157.95,72,0.2468,15369.03
12616954,33,2019-02-01,16362.7,72,0.2644,13417.39
12622429,37,2019-02-01,34653.72,75,0.1199,25094.99
12578086,34,2019-02-01,11865.25,72,0.2644,11745.43
12625664,36,2019-02-01,29569.73,75,0.1163,18168.39
12625183,34,2019-02-01,13946.43,72,0.2061,12257.86
12631320,34,2019-02-01,22173.08,72,0.2482,20144.29
12632754,27,2019-02-01,13191.12,72,0.25,7936.71
12642579,34,2019-02-01,25888.13,72,0.2649,24738.27
12645123,34,2019-02-01,14189.67,72,0.2787,14189.67
12649565,33,2019-02-01,20050,72,0.241,16218.44
12646099,33,2019-02-01,17910.46,72,0.1808,13521.83
12650818,34,2019-02-01,21896.75,72,0.2525,20786.62
12648244,33,2019-02-01,17096,72,0.241,15229.05
12661676,34,2019-02-01,10500,72,0.2799,9547.12
12650164,32,2019-02-01,10627.49,72,0.2645,8371.72
12673288,36,2019-02-01,36510.26,75,0.1829,26771.68
12674973,23,2019-02-01,14794.2,60,0.25,12959.38
12680063,27,2019-02-01,15450,72,0.279,9350.67
12685458,33,2019-02-01,12979,72,0.2515,10556.53
12686669,33,2019-02-01,16611.01,72,0.2591,13628.14
12687981,31,2019-02-01,16582.57,72,0.2287,11546.65
12688593,26,2019-02-01,14146.5,72,0.27,8152.58
12696249,37,2019-02-01,25538.13,72,0.1823,23317.04
12700403,30,2019-02-01,24736.89,75,0.1515,12123.15
12702353,35,2019-02-01,9583.13,72,0.2381,9266.46
12701428,34,2019-02-01,18799.16,75,0.1754,12229.05
12704027,35,2019-02-01,21600,72,0.2061,18776.46
12713795,34,2019-02-01,16578.52,72,0.25,13738.99
12713979,40,2019-02-01,13487.55,75,0.1619,11678.19
12719137,27,2019-02-01,21171.75,72,0.2711,11692.89
12721852,36,2019-02-01,15337.14,72,0.241,14493.02
12719783,33,2019-02-01,11466.45,72,0.2798,10985.19
12728442,31,2019-02-01,19783.93,72,0.2799,15630.49
12727835,37,2019-02-01,23018,75,0.2616,20668.32
12730772,33,2019-02-01,13974.13,72,0.27,13357.51
12741118,28,2019-02-01,16580,72,0.1788,8543.72
12744127,38,2019-02-01,12293,72,0.2516,11999.67
12742104,32,2019-02-01,16946.2,72,0.259,14332.86
12748929,35,2019-02-01,13740.15,72,0.2776,12856.1
12751058,22,2019-02-01,12219.23,60,0.2799,7748.35
12765574,21,2019-02-01,13293.07,60,0.2235,8949.28
12767325,29,2019-02-01,14713.26,72,0.2676,9319.12
12764116,15,2019-02-01,10883.78,60,0.2425,4373.84
12764180,38,2019-02-01,20005.64,72,0.1678,17730.94
12770368,33,2019-02-01,15068.67,72,0.2538,13674.52
12770516,27,2019-02-01,16371.61,72,0.172,8610.7
12754066,38,2019-02-01,29825.6,72,0.168,27454.84
12775730,36,2019-02-01,19392,72,0.278,18904.75
12779471,29,2019-02-01,24387,72,0.2066,15445.02
12787777,36,2019-02-01,11668.99,72,0.2649,11402.68
12789150,31,2019-02-01,14487.34,72,0.25,10159.37
12792900,35,2019-02-01,15663,72,0.2637,14353.61
12795736,31,2019-02-01,19098.15,72,0.24,14252.7
12800238,31,2019-02-01,12045.68,72,0.2489,8577.12
12800377,33,2019-02-01,25963.59,75,0.2665,18753.65
12794766,36,2019-02-01,17638,72,0.2061,14759.09
12813078,34,2019-02-01,15498,72,0.18,11121.41
12833893,37,2019-02-01,19987.79,72,0.207,18581.62
12831877,34,2019-02-01,23406.81,72,0.18,16724.56
12838671,35,2019-02-01,14896.9,72,0.18,12645.47
12826430,32,2019-02-01,13328.1,72,0.2645,10330.7
12826625,33,2019-02-01,14435.43,72,0.2061,10829.31
12839146,35,2019-02-01,15977.88,72,0.24,14975.92
12832779,34,2019-02-01,16833.2,72,0.2477,15144.25
12840300,16,2019-02-01,12475.18,60,0.1611,2947.18
12851126,30,2019-02-01,22406,72,0.241,14226.59
12850291,33,2019-02-01,13229.17,72,0.2645,9917.17
12857974,40,2019-02-01,25262.95,75,0.18,21334.12
12863682,31,2019-02-01,31165.86,75,0.1125,15136.89
12861222,4,2019-02-01,10099.03,48,0.1382,723.49
12868334,35,2019-02-01,15091.87,72,0.2381,12710.68
12862654,30,2019-02-01,12470.52,72,0.241,7755.98
12872131,40,2019-02-01,20927.3,72,0.1823,19210.99
12871605,32,2019-02-01,10183.12,72,0.19,6322.58
12866985,34,2019-02-01,22475.97,72,0.2061,16226.32
12881819,40,2019-02-01,31220.72,75,0.187,25710.07
12882299,32,2019-02-01,15068.54,72,0.2644,11319.15
12881167,34,2019-02-01,16688.76,72,0.2381,14017.76
12884197,35,2019-02-01,11295,72,0.2466,10134.51
12887256,33,2019-02-01,32720.63,75,0.152,19357.4
12888967,35,2019-02-01,20439,72,0.18,16031.14
12895868,35,2019-02-01,22549,75,0.2075,15478.22
12890303,29,2019-02-01,15559.05,72,0.265,10079.4
12891430,36,2019-02-01,14257,72,0.2446,13158.45
12907106,36,2019-02-01,16752.5,72,0.2644,14691.68
12909698,36,2019-02-01,16346.8,72,0.2799,15113.21
12895045,29,2019-02-01,18783,72,0.19,9787.51
12895196,39,2019-02-01,19880.56,72,0.1823,19194.38
12948621,29,2019-02-01,19840.94,72,0.2186,10927.12
12870857,35,2019-02-01,12140.57,72,0.2,9844.14
13001697,29,2019-02-01,17970.25,72,0.2224,10837.8
13031023,39,2019-02-01,15762.75,72,0.2599,10008.86
12464199,31,2019-02-01,12262.14,72,0.2588,9317.04
12464368,33,2019-02-01,14800,72,0.2786,14416.32
12837422,36,2019-02-01,20091.69,72,0.1962,17550.86
13186234,22,2019-02-01,11038.55,60,0.21,1953.21
13266403,33,2019-02-01,34666.34,72,0.2432,24976.78
13274760,42,2019-02-01,33776.26,75,0.1664,27741.19
13304000,45,2019-02-01,28377.96,75,0.1389,24576.37
14215012,34,2019-02-01,14788.05,72,0.21,5389.35
14228552,33,2019-02-01,23270.72,72,0.1941,14390.45
14396314,42,2019-02-01,13962.63,72,0.18,11728.57
14406772,44,2019-02-01,29039.85,75,0.1054,22800.8
14696740,42,2019-02-01,19437.98,72,0.1897,16709.19
14754824,44,2019-02-01,16267.87,72,0.18,15089.6
14776505,35,2019-02-01,41326.13,72,0.1034,24386.03
14776654,46,2019-02-01,24178,75,0.1573,21118.35
14792595,44,2019-02-01,28947.75,75,0.1631,24360.28
14793807,44,2019-02-01,28150,72,0.159,24926.7
14800555,44,2019-02-01,21300,72,0.159,17323.76
14822992,44,2019-02-01,21300,72,0.2162,19425.81
14833470,35,2019-02-01,15845.43,72,0.1865,9763.78
14841173,36,2019-02-01,21532.03,72,0.139,12672.95
14832747,45,2019-02-01,41688.67,75,0.1355,33711.59
14862901,45,2019-02-01,29643,75,0.1522,24970.82
14863232,45,2019-02-01,42078.32,75,0.1415,33526.08
14860269,36,2019-02-01,14587,72,0.2243,8109.97
14870458,44,2019-02-01,10599.44,72,0.2061,9611.6
14925545,44,2019-02-01,14514.3,72,0.2212,13122.45
14927521,25,2019-02-01,10213.76,60,0.1526,4981.71
14944021,44,2019-02-01,30771.17,72,0.199,27423.74
14960374,37,2019-02-01,30870.61,72,0.1658,18508.37
14961482,45,2019-02-01,15655.38,72,0.1823,14616.38
14962425,44,2019-02-01,12984,72,0.1845,11170.36
14967469,45,2019-02-01,20325,72,0.2592,20325
14957266,46,2019-02-01,28100.81,75,0.1293,23498.54
14995921,46,2019-02-01,29199.66,72,0.18,26993.67
15003063,43,2019-02-01,17776.75,72,0.1518,13290.44
15011044,46,2019-02-01,14210.91,72,0.18,13406.16
15037622,44,2019-02-01,14404,72,0.2432,12804.39
15035242,44,2019-02-01,12977.04,72,0.1798,10758.28
15049609,46,2019-02-01,14475.5,72,0.2482,14094.77
15050005,44,2019-02-01,22870.43,72,0.2645,21333.21
15064436,45,2019-02-01,15095.21,72,0.241,13574.34
14984772,38,2019-02-01,19504.54,72,0.1277,12647
5766857,6,2019-02-01,12762,60,0.2629,1407.86
5770482,12,2019-02-01,24800,72,0.22,4803.06
5829227,9,2019-02-01,29789.6,75,0.1282,4684.02
5851311,9,2019-02-01,24747.07,75,0.1029,4298.74
5877956,8,2019-02-01,25191.21,75,0.1318,3558.37
5926382,9,2019-02-01,15723.8,72,0.1,2783.55
5930089,6,2019-02-01,17424.5,72,0.1546,3142.76
6007851,8,2019-02-01,17172.23,72,0.1312,2884.63
6017312,8,2019-02-01,22690.77,72,0.1479,3135.23
6042116,8,2019-02-01,20593,72,0.2114,4502.19
6043488,19,2019-02-01,28393.5,75,0.1531,15538.82
6040886,18,2019-02-01,18390.76,72,0.19,12083.9
6054064,6,2019-02-01,23565,72,0.2794,3909.59
6069645,15,2019-02-01,25960.15,72,0.1397,872.94
6079159,7,2019-02-01,29156,72,0.18,3801.74
6080790,7,2019-02-01,26587.31,72,0.1405,3259.76
6084057,7,2019-02-01,10061.33,72,0.241,1511.92
6084601,7,2019-02-01,22775.67,72,0.1514,3327.64
6116581,7,2019-02-01,17883.52,72,0.24,3076.8
6120737,18,2019-02-01,23454.81,72,0.18,17103.87
6123328,14,2019-02-01,24113.51,75,0.1415,7162.1
6135924,19,2019-02-01,13330.75,72,0.2358,11124
6134107,7,2019-02-01,16952.61,72,0.18,2017.09
6133732,15,2019-02-01,15929,72,0.18,6120.23
6147130,14,2019-02-01,16593.41,72,0.21,5476.79
6147504,19,2019-02-01,17977.2,72,0.18,13487.01
6152613,7,2019-02-01,14537.12,72,0.155,2148.94
6179276,11,2019-02-01,17436.85,72,0.18,4208.78
6129140,7,2019-02-01,16874.88,72,0.1966,1666.51
6196937,19,2019-02-01,16373.3,72,0.2586,12508.68
6201346,16,2019-02-01,28828.64,72,0.1194,9855.93
6214836,9,2019-02-01,18190.72,72,0.1415,2643.95
6218051,19,2019-02-01,27054.68,72,0.16,17793.21
6233580,21,2019-02-01,28193.45,72,0.18,22596.27
6227838,11,2019-02-01,16512.44,72,0.2049,4361.97
6243764,19,2019-02-01,31008.34,72,0.0982,15362.22
6252687,18,2019-02-01,23830.85,75,0.162,9401.86
6251551,13,2019-02-01,24175.5,72,0.1654,8818.96
6268167,9,2019-02-01,27435.39,72,0.1523,4391.35
6274172,9,2019-02-01,18047.88,72,0.1265,2792.39
6263228,8,2019-02-01,16208.2,72,0.1909,3014.31
6280609,20,2019-02-01,27584.76,72,0.138,17496.48
6286513,18,2019-02-01,15500,72,0.2741,14073.36
6299954,9,2019-02-01,10769.02,72,0.18,2274.74
6308691,12,2019-02-01,25970.94,72,0.1263,5542.64
6310514,12,2019-02-01,21180.89,72,0.15,4192.82
6292257,9,2019-02-01,21341,72,0.158,3931.8
6315463,12,2019-02-01,16337.72,72,0.18,4579.37
6318798,21,2019-02-01,18125,72,0.18,12904.52
6316935,20,2019-02-01,34386.63,72,0.1833,23401.53
6313752,10,2019-02-01,17288.67,72,0.1289,3381.18
6329526,21,2019-02-01,24714.66,72,0.1632,17463.34
6330554,18,2019-02-01,32156.48,72,0.1666,18475.13
6327471,20,2019-02-01,14269.49,72,0.2061,10708.32
6333542,19,2019-02-01,27992.47,72,0.1442,16613.85
6338487,20,2019-02-01,11854.29,72,0.18,9081.33
6342302,14,2019-02-01,21200.22,72,0.1772,7783.34
6350448,19,2019-02-01,20876.7,72,0.2044,15406.71
6348689,20,2019-02-01,25916,72,0.1805,17301.64
6351488,19,2019-02-01,22055.9,72,0.21,14465.63
6352533,21,2019-02-01,33074,72,0.1479,21034.71
6353171,19,2019-02-01,14740.87,72,0.2069,10986.32
6354909,10,2019-02-01,16420.69,72,0.1767,2649.61
6361963,12,2019-02-01,30231.94,72,0.125,8009.37
6352338,19,2019-02-01,18476.09,72,0.18,12368.17
6366880,22,2019-02-01,19150,72,0.1568,13693.89
6365145,14,2019-02-01,26449.15,72,0.1743,8816.85
6373728,20,2019-02-01,27121.48,72,0.0974,14359.15
6376063,18,2019-02-01,14888.1,72,0.1514,7506.41
6379010,18,2019-02-01,26296.49,72,0.1487,10784.02
6383194,19,2019-02-01,18799.86,72,0.1729,11664.79
6377984,21,2019-02-01,22440.34,72,0.1397,14045.8
6384921,19,2019-02-01,15793.58,72,0.18,10009.67
6382286,19,2019-02-01,7700,72,0.2679,7031.33
6382963,19,2019-02-01,19529.87,72,0.1823,13182.16
6388315,19,2019-02-01,22727.22,72,0.18,15166.23
6393622,12,2019-02-01,20007.22,72,0.1328,5065.58
6394056,14,2019-02-01,14900.6,72,0.1823,5590.13
6398699,20,2019-02-01,32151.55,72,0.1678,20764.42
6396970,22,2019-02-01,26898.72,72,0.17,19556.06
6403965,13,2019-02-01,26130,72,0.1778,9771.79
6404916,15,2019-02-01,24425,72,0.1422,7440.31
6410363,21,2019-02-01,25152.42,72,0.1349,14701.43
6408530,15,2019-02-01,9172.24,72,0.2499,4204.52
6417558,11,2019-02-01,27517.26,72,0.1381,5320.11
6418952,19,2019-02-01,13166.84,72,0.2499,11499.74
6419722,18,2019-02-01,9939.6,72,0.1414,4174.95
6421678,14,2019-02-01,15632.47,72,0.18,5462.69
6421806,19,2019-02-01,19019.2,72,0.21,12958.4
6421883,19,2019-02-01,23748.63,72,0.152,12235.23
6426164,21,2019-02-01,19586.68,72,0.1517,12141.82
6423523,11,2019-02-01,18400.5,72,0.1447,2897.9
6427009,19,2019-02-01,19262,72,0.18,10813.94
6427468,19,2019-02-01,18619,72,0.18,9864.36
6426797,15,2019-02-01,26667.56,72,0.1369,7804.58
6429221,21,2019-02-01,31801.3,72,0.1369,18903.55
6429638,12,2019-02-01,18508.64,72,0.21,5822.81
6429043,19,2019-02-01,21385.72,72,0.189,14000.64
6443713,18,2019-02-01,25961.3,72,0.0954,9713.29
6442794,20,2019-02-01,15034.5,72,0.24,10581.82
6437703,18,2019-02-01,24878.11,72,0.19,14971.62
6448455,21,2019-02-01,26417,72,0.1822,19197.15
6448467,20,2019-02-01,20828.85,72,0.2475,14448.51
6448482,15,2019-02-01,19137,72,0.1429,2254.44
6448537,20,2019-02-01,21456.18,72,0.1672,15692.06
6451916,20,2019-02-01,14976.95,72,0.2083,10444.84
6454480,12,2019-02-01,30480.24,72,0.161,6483.6
6450225,20,2019-02-01,22333.24,72,0.18,13608.35
6457529,13,2019-02-01,22923.61,72,0.1823,7255.69
6458610,21,2019-02-01,25842.86,72,0.18,16793.05
6452730,15,2019-02-01,15065,72,0.2499,6646.66
6456393,14,2019-02-01,18848.49,72,0.1313,5489.59
6454289,14,2019-02-01,24676.52,72,0.1309,7505.96
6455778,20,2019-02-01,37495,72,0.1584,18471.35
6463592,16,2019-02-01,26824.99,72,0.1722,10340.95
6463607,12,2019-02-01,22814.11,72,0.1823,5243.91
6461381,12,2019-02-01,17187.46,72,0.1377,3688.94
6464720,16,2019-02-01,21228.55,75,0.1509,6466.68
6466115,21,2019-02-01,27108.91,72,0.1678,19829.56
6472033,18,2019-02-01,22730.77,72,0.18,13469.62
6459311,21,2019-02-01,15212,72,0.2499,13205.88
6473367,22,2019-02-01,16316.02,72,0.1712,11912.25
6473814,15,2019-02-01,36317.42,75,0.1499,9515.17
6473525,20,2019-02-01,22403.43,75,0.1639,12084.34
6473773,20,2019-02-01,27475.79,72,0.18,18737.42
6469640,21,2019-02-01,28376,72,0.1239,16523.94
6476099,20,2019-02-01,15250.63,72,0.24,10995.64
6478580,20,2019-02-01,20394.55,72,0.2819,17649.28
6472769,20,2019-02-01,15328.5,72,0.2499,12896.4
6480044,20,2019-02-01,18500,72,0.2381,13955.35
6478343,14,2019-02-01,31034.84,72,0.1441,8772.25
6467997,23,2019-02-01,23818.37,75,0.18,14870.62
6472012,19,2019-02-01,28192.15,75,0.1425,13238.54
6482793,17,2019-02-01,18131.73,75,0.1499,5425.04
6482939,22,2019-02-01,20646.45,72,0.1654,14189.69
6483421,21,2019-02-01,15843.44,72,0.2023,11431.6
6486080,19,2019-02-01,17158.5,72,0.1648,8567.17
6487132,20,2019-02-01,27247.38,72,0.1639,16518.53
6470371,12,2019-02-01,27485.91,72,0.1017,5883.26
6463222,17,2019-02-01,26000,72,0.1514,10586.97
6489137,21,2019-02-01,12848.89,72,0.2369,10808.79
6485636,25,2019-02-01,26163.23,75,0.1531,17296.25
6485890,14,2019-02-01,24318.13,72,0.1114,6995.16
6491169,22,2019-02-01,18030.84,72,0.18,11390.11
6487714,19,2019-02-01,19942.58,75,0.1464,7120.61
6489026,15,2019-02-01,25875.93,75,0.1475,6622.75
6476978,12,2019-02-01,13557.27,72,0.1412,3392.23
6493461,25,2019-02-01,28179.79,75,0.1416,16824.19
6489916,16,2019-02-01,23280.08,72,0.1708,8983.38
6495813,22,2019-02-01,15098,72,0.1526,10898.56
6492194,16,2019-02-01,23173.92,72,0.134,8376.44
6496751,21,2019-02-01,18149.71,72,0.2499,12620.43
6489395,20,2019-02-01,19987.31,72,0.1959,13912.51
6497943,21,2019-02-01,15695,72,0.2211,12659.68
6499863,20,2019-02-01,21916.3,72,0.18,14286.85
6500910,19,2019-02-01,15897.49,72,0.1439,6567.83
6500988,12,2019-02-01,32375.4,72,0.1496,6565.21
6501578,20,2019-02-01,19296.09,72,0.2464,14874.33
6501727,12,2019-02-01,10552,72,0.25,3143.01
6499319,20,2019-02-01,16482.21,72,0.18,10307.02
6499395,21,2019-02-01,29455.46,72,0.1702,15923.12
6496384,19,2019-02-01,21764.07,72,0.1565,6092.78
6502926,21,2019-02-01,20399,72,0.2275,15820.09
6502931,6,2019-02-01,15602.9,66,0.1828,2465.5
6484296,17,2019-02-01,36500,72,0.1545,12764.5
6484439,16,2019-02-01,25926.56,75,0.1378,7517.54
6503414,15,2019-02-01,27697.1,75,0.1847,8149.79
6503531,21,2019-02-01,22699.66,72,0.2325,18208.97
6508202,15,2019-02-01,23964.48,72,0.1289,8892.13
6510434,16,2019-02-01,22886.13,72,0.1632,9528.61
6510482,22,2019-02-01,16481.32,72,0.1705,10973.96
6507837,21,2019-02-01,19714.21,72,0.1229,9529.99
6512232,21,2019-02-01,14038.16,72,0.2549,11828.52
6512788,18,2019-02-01,19839.78,72,0.1203,8179.74
6498774,21,2019-02-01,19519.26,72,0.1678,12557.03
6506635,19,2019-02-01,27561.8,72,0.1255,14554.78
6511702,25,2019-02-01,27033.64,75,0.174,20820.38
6519598,22,2019-02-01,17907.98,72,0.1114,11158.55
6521431,20,2019-02-01,18448.5,72,0.1654,10299.07
6521475,12,2019-02-01,14721.31,72,0.2044,4337.19
6515208,16,2019-02-01,22002.45,75,0.1506,6358.89
6515595,22,2019-02-01,25812.77,75,0.1531,14068.49
6515599,21,2019-02-01,24770.44,72,0.18,15174.32
6518415,25,2019-02-01,35850.01,75,0.1513,23130.87
6522138,17,2019-02-01,41545.39,75,0.1308,12222.53
6522462,21,2019-02-01,32677.4,75,0.1585,15131.71
6516372,18,2019-02-01,32474.5,72,0.1465,12689.67
6520214,19,2019-02-01,9217.78,72,0.1517,3807.86
6523880,22,2019-02-01,26928.37,75,0.1763,14793.13
6524140,17,2019-02-01,22321,75,0.18,8562.39
6503852,12,2019-02-01,16937.77,72,0.1866,3689.49
6504199,12,2019-02-01,23902.99,72,0.1791,5117.66
6521739,15,2019-02-01,24368.85,72,0.1329,7322.5
6523440,21,2019-02-01,15366.5,72,0.1842,9594.05
6530352,15,2019-02-01,11682.59,72,0.1294,4326.33
6530938,21,2019-02-01,20045.33,72,0.24,16003.56
6532976,22,2019-02-01,20601,72,0.133,10086.05
6528686,22,2019-02-01,20747.72,72,0.1905,15721.74
6530690,19,2019-02-01,10667.54,72,0.1745,5907.78
6530866,22,2019-02-01,22025,72,0.18,16045.85
6534653,21,2019-02-01,20186.92,72,0.1584,13499.35
6539958,19,2019-02-01,23896.87,72,0.1678,9713.11
6542794,17,2019-02-01,19368.76,72,0.2065,8534.51
6538412,24,2019-02-01,32288,75,0.1759,21794.89
6543336,22,2019-02-01,20179.2,72,0.1041,9229.06
6542911,18,2019-02-01,22205.83,75,0.1514,6889.53
6540279,22,2019-02-01,18991.54,72,0.1714,13190.86
6547039,15,2019-02-01,18400.06,72,0.1463,4683.15
6549419,15,2019-02-01,13009.25,72,0.2023,4575.51
6543604,16,2019-02-01,14000,72,0.1347,4690.75
6543822,21,2019-02-01,11856.9,72,0.1559,5548.49
6548251,16,2019-02-01,20056.25,75,0.1664,5378.74
6548697,21,2019-02-01,15133.91,72,0.2154,11140.61
6548907,15,2019-02-01,23892.7,72,0.18,9444.45
6554642,15,2019-02-01,21964.76,72,0.1506,5390.92
6555238,23,2019-02-01,20895,72,0.1814,16567.26
6544095,16,2019-02-01,24454.18,75,0.1377,5957.78
6555780,16,2019-02-01,13635.27,72,0.0824,3965.83
6552994,16,2019-02-01,27521.85,75,0.1691,8402.45
6547719,25,2019-02-01,30829.57,75,0.1471,18529.3
6547725,21,2019-02-01,22577.19,75,0.1826,12145.75
6547731,25,2019-02-01,28208.29,75,0.173,20350.38
6560164,19,2019-02-01,33986.86,72,0.1226,16316.11
6556776,21,2019-02-01,17700.37,72,0.2549,12648.61
6559809,21,2019-02-01,11869.94,72,0.2764,10375.64
6558860,15,2019-02-01,19330.77,72,0.1715,5537.27
6564557,22,2019-02-01,35249,75,0.1443,19085.87
6570173,18,2019-02-01,25409.05,72,0.1349,10009.53
6557631,22,2019-02-01,17712.92,72,0.2549,16025.32
6568700,15,2019-02-01,30777.58,72,0.1522,9351.74
6565160,24,2019-02-01,20185.08,72,0.21,15096.59
6565225,13,2019-02-01,19754.83,72,0.1789,4966
6574799,22,2019-02-01,22850,72,0.298,21058.45
6574818,19,2019-02-01,36471.54,72,0.1033,15599.62
6560425,19,2019-02-01,20625,72,0.1369,8512.28
