assetNumber,remainingTermToMaturityNumber,reportingPeriodBeginningDate,originalLoanAmount,originalLoanTerm,originalInterestRatePercentage,reportingPeriodActualEndBalanceAmount
19789782,73,2019-02-01,14681.66,72,0.218,14681.66
19789783,72,2019-02-01,13612.77,72,0.231,13468.53
19789741,73,2019-02-01,13153.52,72,0.2378,13153.52
19789757,73,2019-02-01,21886.5,72,0.0888,21886.5
19780906,72,2019-02-01,19742.66,72,0.221,19508.41
19780913,73,2019-02-01,13902.07,72,0.155,13902.07
19780916,61,2019-02-01,12484.43,60,0.2532,12475.57
19789391,73,2019-02-01,9621.57,72,0.2243,9621.57
19789392,73,2019-02-01,16857.13,72,0.1933,16857.13
19781163,75,2019-02-01,24795.93,75,0.2611,24725.43
19780944,76,2019-02-01,32951.72,75,0.18,32951.72
19780949,76,2019-02-01,21011.23,75,0.2705,21011.23
19780910,61,2019-02-01,6724.9,60,0.18,6331.02
19789363,73,2019-02-01,25533.06,72,0.18,25533.06
19780769,60,2019-02-01,22608.6,60,0.1944,22530
19780777,72,2019-02-01,22282.16,72,0.1699,22087.37
19780782,72,2019-02-01,13686.69,72,0.1792,13648.45
19780973,73,2019-02-01,15430.44,72,0.1463,14974.79
19780974,73,2019-02-01,14093.61,72,0.2387,14093.61
19780975,73,2019-02-01,22613.44,72,0.2381,22613.44
19789365,73,2019-02-01,28296.91,72,0.1947,28296.91
19780988,73,2019-02-01,31569.57,72,0.1333,31569.57
19780991,73,2019-02-01,28899.75,72,0.1411,28899.75
19780993,73,2019-02-01,26242.08,72,0.1875,26084.31
19780999,72,2019-02-01,8353.87,72,0.18,8256.86
19780793,73,2019-02-01,19837.1,72,0.18,19837.1
19780798,73,2019-02-01,32983.35,72,0.2061,32983.35
19781007,72,2019-02-01,14695,72,0.1871,14690.22
19780911,72,2019-02-01,27694.23,72,0.18,27658.84
19780912,75,2019-02-01,36369.57,75,0.2183,36172.61
19780932,73,2019-02-01,14738.43,72,0.1676,14738.43
